Name on the Register,url,Register_number,Coordinates,Neighborhood,Description,Link_works,wiki,latitude,longitude,geometry
Jerome Park Reservoir,https://en.wikipedia.org/wiki/Jerome_Park_Reservoir,00001014,40°52′40″N 73°53′44″W,Jerome Park,,1.0,"The Jerome Park Reservoir is a reservoir located in Jerome Park, a neighborhood in the North Bronx, New York City. The reservoir is surrounded by DeWitt Clinton High School, the Bronx High School of Science, Lehman College, and Walton High School.

",40.524,-73.5344,POINT (-73.53440000000001 40.524)
Keeper's House at Williamsbridge Reservoir,https://en.wikipedia.org/wiki/Keeper%27s_House_at_Williamsbridge_Reservoir,99001131,40°52′43″N 73°52′34″W,Norwood,,1.0,"The Keeper's House at Williamsbridge Reservoir is a historic home located in the Borough of the Bronx in New York City. It was built in 1889 as part of the Williamsbridge Reservoir complex.  It is a 2+1⁄2-story, L-shaped stone house. The stones used to build the house were pieces of granite taken from the excavation of the reservoir it was to serve. It is 5,000 square feet (460 m2) in size and has a slate-covered gable roof with a clay tile roof ridge and copper gutters.It was listed on the National Register of Historic Places in 1999. At that time, it was acquired by the Mosholu Preservation Corporation, a non-profit enterprise founded by the Montefiore Medical Center in 1981, intended as a powerful antidote to widespread housing deterioration and abandonment in its surrounding neighborhood in the Norwood section of the Bronx. The corporation did a major renovation of the building and restored it to the point where it could provide modern conveniences. The house now serves as the corporation's headquarters. It is also the headquarters for the Norwood News.

",40.5243,-73.5234,POINT (-73.5234 40.5243)
Lisanti Chapel,https://en.wikipedia.org/wiki/Lisanti_Chapel,01001447,40°52′48″N 73°51′48″W,Baychester,,1.0,"Lisanti Chapel is a historic chapel at 740 E. 215th Street, Bronx, New York in the Williamsbridge neighborhood of The Bronx.
It was built in 1905 by Francesco Lisanti, an Italian Immigrant, and added to the National Register of Historic Places in 2002.
The chapel has pointed-arched window and door openings and various other subtle Gothic Revival details with a Southern Italian character; the date plaque is inscribed:
""F LISANTI
IN DEVOZIONE
DELL IMMACOLATA
PER SE E FAMIGLIA
ERESSE
1905""",40.5248,-73.5148,POINT (-73.51479999999999 40.5248)
Longwood Historic District,https://en.wikipedia.org/wiki/Longwood_Historic_District_(Bronx),83001640,40°49′00″N 73°54′00″W,Longwood,,1.0,,40.49,-73.54,POINT (-73.54000000000001 40.49)
Lorillard Snuff Mill,https://en.wikipedia.org/wiki/Lorillard_Snuff_Mill,77000935,40°51′36″N 73°52′35″W,Bronx Park,,1.0,"The Lorillard Snuff Mill now known as the Lillian and Amy Goldman Stone Mill, is the oldest existing tobacco manufacturing building in the United States.  It was built around 1840 next to the Bronx River to supplement an earlier building of the same function.  The schist that makes up its walls was quarried locally.  It was declared a National Historic Landmark in 1977 and is located inside the New York Botanical Garden, itself an NHL.

The Lorillard firm was founded by Pierre Abraham Lorillard in 1760.  His two sons, Peter and George, took over after he was killed during the American Revolutionary War, and they moved the manufacturing portion of the business to this location in the Bronx in 1792.  Peter Lorillard III built a forty-five room mansion, stone cottage and stables nearby. The mansion burned in 1923. The Lorillard company and family left the property in the Bronx in 1870 after relocating their business to Jersey City, NJ.  The land was purchased by the New York City government in 1884 and was transferred to the New York Botanical Garden in 1915. The Mill was retained by New York City Department of Parks and Recreation and used for storage and shops until 1937 when it too was transferred to the Botanical Garden along with several other small parcels.  The Mill was renovated in 1952-54 and a cafe and patio were installed on the lower side facing the Bronx River, and a meeting room was fashioned from the space that once held snuff-grinding equipment.  The building had a $10.5 million restoration in 2010 and is now used for staff offices and a catering facility.",40.5136,-73.5235,POINT (-73.5235 40.5136)
Morris High School Historic District,https://en.wikipedia.org/wiki/Morris_High_School_Historic_District,83001641,40°49′38″N 73°54′15″W,Morrisania,,1.0,"Morris High School Historic District is a national historic district centered on a  high school located at Morrisania, The Bronx, New York, New York.  The district includes 51 contributing buildings.  It includes the Morris High School, two streets of brick rowhouses, and Trinity Episcopal Church of Morrisania.  The high school and rowhouses were built between 1897 and 1904.  The church complex dates to the late-19th century, with the church started in 1874.It was listed on the National Register of Historic Places in 1983.",40.4938,-73.5415,POINT (-73.5415 40.4938)
Morris Park Station,https://en.wikipedia.org/wiki/Morris_Park_(IRT_Dyre_Avenue_Line),05000677,40°51′17″N 73°51′37″W,Morris Park,Subway station (5 train),1.0,"The Morris Park station is a station on the IRT Dyre Avenue Line of the New York City Subway served by the 5 train at all times. It is located at Paulding Avenue and the Esplanade in Morris Park, Bronx.

",40.5117,-73.5137,POINT (-73.5137 40.5117)
Mott Avenue Control House,https://en.wikipedia.org/wiki/Mott_Avenue_(IRT_White_Plains_Road_Line),80002590,40°49′07″N 73°55′39″W,Mott Haven,"Subway control house for 2​, 4​, and 5 trains",1.0,"The 149th Street–Grand Concourse station is a New York City Subway station complex shared by the IRT Jerome Avenue Line and the IRT White Plains Road Line. It is located at East 149th Street and Grand Concourse in Mott Haven and Melrose in the Bronx. The complex is served by the 2 and 4 trains at all times, and by the 5 train at all times except late nights.",40.4907,-73.5539,POINT (-73.5539 40.4907)
Mott Haven Historic District,https://en.wikipedia.org/wiki/Mott_Haven_Historic_District,80002586,40°48′37″N 73°55′32″W,Mott Haven,,1.0,"Mott Haven is a primarily residential neighborhood in the southwestern section of the New York City borough of the Bronx. Its boundaries, starting from the north and moving clockwise, are East 149th Street to the north, the Bruckner Expressway to the east, the Major Deegan Expressway to the south, and the Harlem River to the west. East 138th Street is the primary east–west thoroughfare through Mott Haven.
The neighborhood is part of Bronx Community Board 1, and is located within ZIP Codes 10451, 10454, and 10455. Mott Haven is patrolled by the New York City Police Department's 40th Precinct.The local subway line is the IRT Pelham Line (6 and <6>​ trains), operating along East 138th Street. The local buses are the Bx1, Bx2, Bx15, Bx17, Bx19, Bx21, Bx32, Bx33. Mott Haven is served by the Triborough Bridge, the Third Avenue Bridge, the Madison Avenue Bridge, the 145th Street Bridge, and the Willis Avenue Bridge. The closest Metro-North Railroad stops are Harlem – 125th Street and Yankees – East 153rd Street.",40.4837,-73.5532,POINT (-73.5532 40.4837)
New York Botanical Garden,https://en.wikipedia.org/wiki/New_York_Botanical_Garden,67000009,40°51′49″N 73°52′34″W,Bronx Park,,1.0,"The New York Botanical Garden (NYBG) is a botanical garden at Bronx Park in the Bronx, New York City. Established in 1891, it is located on a 250-acre (100 ha) site that contains a landscape with over one million living plants; the Enid A. Haupt Conservatory, a greenhouse containing several habitats; and the LuEsther T. Mertz Library, which contains one of the world's largest collections of botany-related texts. As of 2016, over a million people visit the New York Botanical Garden annually.
NYBG is also a major educational institution, teaching visitors about plant science, ecology, and healthful eating through NYBG's interactive programming. Nearly 90,000 of the annual visitors are children from underserved neighboring communities. An additional 3,000 are teachers from New York City's public school system participating in professional development programs that train them to teach science courses at all grade levels. NYBG operates one of the world's largest plant research and conservation programs.
NYBG was established in 1891 and the first structures on the grounds opened at the end of that decade. Since 1967, the garden has been listed as a National Historic Landmark, and several buildings have been designated as official New York City landmarks.

",40.5149,-73.5234,POINT (-73.5234 40.5149)
"New York, Westchester and Boston Railroad Administration Building","https://en.wikipedia.org/wiki/New_York,_Westchester_and_Boston_Railroad_Administration_Building",80002587,40°50′29″N 73°52′23″W,Van Nest,,1.0,"The New York, Westchester and Boston Railway Company (NYW&B, also known to its riders as ""the Westchester"" and colloquially as the ""Boston-Westchester""), was an electric commuter railroad in the Bronx and Westchester County, New York from 1912 to 1937. It ran from the southernmost part of the South Bronx, near the Harlem River, to Mount Vernon with branches north to White Plains and east to Port Chester. From 1906, construction and operation was under the control of the New York, New Haven & Hartford Railroad (NH) until its bankruptcy in 1935.
A 4-mile (6.4 km) section survives as the IRT Dyre Avenue Line (5 train) of the New York City Subway.",40.5029,-73.5223,POINT (-73.5223 40.5029)
Park Plaza Apartments,https://en.wikipedia.org/wiki/Park_Plaza_Apartments_(New_York),82003346,40°49′50″N 73°55′30″W,Concourse,,1.0,,40.495,-73.553,POINT (-73.553 40.495)
Pelham Parkway Station (Dual System IRT),https://en.wikipedia.org/wiki/Pelham_Parkway_(IRT_White_Plains_Road_Line),05000228,40°51′26″N 73°52′03″W,Pelham Parkway,Subway station (2 and ​5 trains),1.0,"The Pelham Parkway station is a local station on the IRT White Plains Road Line of the New York City Subway. Located in the Bronx at the intersection of Pelham Parkway and White Plains Road, it is served by the 2 train at all times and by the 5 train during rush hours in the peak direction.",40.5126,-73.5203,POINT (-73.52030000000001 40.5126)
Poe Cottage,https://en.wikipedia.org/wiki/Poe_Cottage,80002588,40°51′55″N 73°53′40″W,Fordham,,1.0,"The Edgar Allan Poe Cottage (or Poe Cottage) is the former home of American writer Edgar Allan Poe. It is located on Kingsbridge Road and the Grand Concourse in the Fordham neighborhood of the Bronx, New York, a short distance from its original location, and is now in the northern part of Poe Park.
The cottage is a part of the Historic House Trust, listed on the National Register of Historic Places, has been administered by the Bronx County Historical Society since 1975, and is believed to have been built in 1797.

",40.5155,-73.534,POINT (-73.53400000000001 40.5155)
Port Morris Ferry Bridges,https://en.wikipedia.org/wiki/Port_Morris_Ferry_Bridges,13001150,40°47′58″N 73°54′29″W,Port Morris,,1.0,"Port Morris Ferry Bridges, also known as the 134th Street Ferry Bridges, are two historic bridges located in the Port Morris neighborhood of the Bronx, New York City.  They were built in 1948 by the New York, New Haven and Hartford Railroad, and are constructed of steel and copper in industrial-style truss construction.  Each bridge stands four to five stories tall and covered in corrugated steel metal.  They feature wire rope pulley systems, wooden gangways, and pontoons.  They were constructed to hoist the bases of ferry boats in and out of the river as they came into dock.: 3, 7 It was added to the National Register of Historic Places in 2014.",40.4758,-73.5429,POINT (-73.5429 40.4758)
Prospect Avenue Subway Station (IRT),https://en.wikipedia.org/wiki/Prospect_Avenue_(IRT_White_Plains_Road_Line),04001026,40°49′11″N 73°54′08″W,Melrose and Longwood,Subway station (2 and ​5 trains),1.0,"The first regularly operated subway in New York City was opened on October 27, 1904, and was operated by the Interborough Rapid Transit Company (IRT). The early IRT system consisted of a single trunk line below 96th Street in Manhattan, running under Broadway, 42nd Street, Park Avenue, and Lafayette Street. The line had three northern branches in Upper Manhattan and the Bronx, and a southern branch to Brooklyn. The system had four tracks between Brooklyn Bridge–City Hall and 96th Street, allowing for local and express service. The original line and early extensions consisted of:

The IRT Eastern Parkway Line from Atlantic Avenue–Barclays Center to Borough Hall
The IRT Lexington Avenue Line from Borough Hall to Grand Central–42nd Street
The IRT 42nd Street Shuttle from Grand Central–42nd Street to Times Square
The IRT Broadway–Seventh Avenue Line from Times Square to Van Cortlandt Park–242nd Street
The IRT Lenox Avenue Line from 96th Street to 145th Street
The IRT White Plains Road Line from 142nd Street Junction to 180th Street–Bronx ParkPlanning for the subway started in 1894 with the enactment of the Rapid Transit Act. The plans were drawn up by a team of engineers led by William Barclay Parsons, chief engineer of the Rapid Transit Commission. Heins & LaFarge designed elaborate decorative elements for the early system. The city government started construction on the first IRT subway in 1900, leasing it to the IRT for operation under Contracts 1 and 2. After the initial line was opened, several modifications and extensions were made in the 1900s and 1910s.
In 1918, a new ""H"" system was placed in service as part of the Dual Contracts, splitting the original line into several segments. Most of the original IRT remains intact and operates as part of the New York City Subway; however, several stations were subsequently closed.",40.4911,-73.5408,POINT (-73.5408 40.4911)
Public School 11,https://en.wikipedia.org/wiki/Public_School_11,83001642,40°50′23″N 73°55′35″W,Highbridge,,1.0,"A public school in England and Wales (but not Scotland) is a fee-charging endowed school originally for older boys that was ""public"" in the sense of being open to pupils irrespective of locality, denomination or paternal trade or profession. Although the term ""public school"" has been in use since at least the 18th century, its usage was formalised by the Public Schools Act 1868, which put into law most recommendations of the 1864 Clarendon Report. Nine prestigious schools were investigated by Clarendon (including Merchant Taylors' School and St. Paul's School) and seven subsequently reformed by the Act: Eton, Shrewsbury, Harrow, Winchester, Rugby, Westminster, and Charterhouse.Public schools have had a strong association with the ruling classes. Historically, the sons of officers and senior administrators of the British Empire were educated in English public schools whilst their fathers were on imperial postings. In 2019, two-thirds of cabinet ministers of the United Kingdom had been educated at such fee-charging schools, although a slim majority of cabinet ministers since 1964 were educated at state schools.",40.5023,-73.5535,POINT (-73.5535 40.5023)
Public School 15,https://en.wikipedia.org/wiki/Public_School_15,81000401,40°53′27″N 73°49′52″W,Eastchester,,1.0,"Public School 15 is a historic school in Eastchester in the Bronx, New York City. It was built in 1877 in the Victorian Gothic style.  It is an H-shaped red brick building on a stone foundation. It features a central picturesque bell tower with a steep pyramidal roof topped by a weather vane. It ceased to be used as a school in the late 1970s and serves as a child care center.It was listed on the National Register of Historic Places in 1981.

",40.5327,-73.4952,POINT (-73.4952 40.5327)
Public School 17,https://en.wikipedia.org/wiki/Public_School_17,84002065,40°50′49″N 73°47′05″W,City Island,,1.0,"Public School 17 is a historic school located at City Island in the Bronx, New York City.  It was designed by architect C. B. J. Snyder (1860–1945) and built in 1897 in the Neo-Georgian style. A rear addition was built in 1930. It is a two-story, five-bay brick building on a high basement.  It features a shallow wooden entrance porch with Doric order columns.
It served as a school until 1975. The City Island Nautical Museum opened in 1976, and when New York City sold the building to developer Haim Joseph for $500,000 in the 1980s to develop into condominium apartments, the museum and a community center received a 99-year rent-free lease, and reopened in 1995 after renovations.It was listed on the National Register of Historic Places in 1984.A fire allegedly set by vandals on July 13, 2007, damaged the building's façade.",40.5049,-73.4705,POINT (-73.4705 40.5049)
Rainey Memorial Gates,https://en.wikipedia.org/wiki/Rainey_Memorial_Gates,72000823,40°51′18″N 73°52′40″W,Bronx Park,"Paul Manship, Sculptor; Charles A Platt, architect",1.0,"Rainey Memorial Gates is a historic entrance gate located at the north side of the Bronx Zoo, within Bronx Park in the Bronx, New York City. It was built in 1934 and constructed of sculpted bronze in the Art Deco style. It was designed by noted sculptor Paul Manship (1885–1966), who worked on them starting in 1926. It stands as a memorial to noted big game hunter Paul James Rainey (1877–1923). The gates feature stylized animal and plant life including the figure of a seated lion.  Low bronze screens flank the gate and connect it to the granite gatekeepers lodges.  The gates are topped by 26 ton slabs of granite.It is a New York City designated landmark and was listed on the National Register of Historic Places in 1972.

",40.5118,-73.524,POINT (-73.524 40.5118)
C. Rieger's Sons Factory,https://en.wikipedia.org/wiki/C._Rieger%27s_Sons_Factory,04000543,40°48′51″N 73°55′01″W,Mott Haven,,1.0,"C. Rieger's Sons Factory, also known as Arden Manufacturing Corporation and Piser Company, is a historic factory building located in the Mott Haven section of The Bronx, New York, New York. It was built in 1906, and is a six-story building clad in yellow iron spot brick in the Romanesque Revival style.  The facade and windows are trimmed in bluestone.  It originally housed a furniture manufacturer.  It was converted for use as affordable housing during 2002–2003.It was listed on the National Register of Historic Places in 2004.",40.4851,-73.5501,POINT (-73.5501 40.4851)
Riverdale–Spuyten Duyvil–Kingsbridge Memorial Bell Tower,https://en.wikipedia.org/wiki/Riverdale%E2%80%93Spuyten_Duyvil%E2%80%93Kingsbridge_Memorial_Bell_Tower,11000967,40°53′21″N 73°54′30″W,Riverdale,,1.0,"The Riverdale–Spuyten Duyvil–Kingsbridge Memorial Bell Tower or Riverdale Monument is a memorial tower in Bell Tower Park located in the Riverdale section of the Bronx.  It was completed on September 17, 1930 to commemorate World War I veterans from the neighborhoods of Riverdale, Spuyten Duyvil, and Kingsbridge.  In 1936, it was moved 700 feet south to make room for the Henry Hudson Parkway which it now stands next to.  It was listed on the National Register of Historic Places on January 3, 2012.",40.5321,-73.543,POINT (-73.54300000000001 40.5321)
Riverdale Presbyterian Church Complex,https://en.wikipedia.org/wiki/Riverdale_Presbyterian_Church_Complex,82001092,40°53′45″N 73°54′32″W,Riverdale,,1.0,"Riverdale Presbyterian Church is a historic Presbyterian church located at 4761-4765 Henry Hudson Parkway in the Riverdale neighborhood of the Bronx, New York City.  It was designed in 1863 by architect James Renwick, Jr. The church is a fieldstone building in an English-inspired Late Gothic Revival style.  It was substantially enlarged in 1936.
The complex also includes a stone manse, the Duff House, also designed by Renwick, and a Stick Style cottage, called the Duff or Gardener's Cottage, built in 1875.  In his original design for the Duff House, Renwick combined a mansard roof with gables and dormers in the Gothic Revival style.The complex was designated a New York City landmark in 1966, and was listed on the National Register of Historic Places in 1982.The congregation established the Edgehill Church at Spuyten Duyvil in 1869 as a chapel; it is now an independent church.

",40.5345,-73.5432,POINT (-73.5432 40.5345)
St. Ann's Church Complex,https://en.wikipedia.org/wiki/St._Ann%27s_Episcopal_Church_(Bronx),80002589,40°48′30″N 73°55′03″W,Mott Haven,,1.0,,40.483,-73.5503,POINT (-73.55029999999999 40.483)
St. Anselm's Roman Catholic Church and School,https://en.wikipedia.org/wiki/St._Anselm%27s_Roman_Catholic_Church,13001151,40°48′58″N 73°54′20″W,Mott Haven,,1.0,"The Church of St. Anselm is a Roman Catholic parish church under the authority of the Roman Catholic Archdiocese of New York, located at 685 Tinton Avenue in the Mott Haven neighborhood of the Bronx in New York City. It was established in 1891 and is staffed by the Order of Augustinian Recollects. Previously it was staffed by the Benedictine monks.: 5, 7 ",40.4858,-73.542,POINT (-73.542 40.4858)
St. James' Episcopal Church and Parish House,https://en.wikipedia.org/wiki/St._James%27_Episcopal_Church_and_Parish_House,82003347,40°51′50″N 73°54′00″W,Fordham,,1.0,"St. James' Episcopal Church and Parish House is a historic Episcopal church at 2500 Jerome Avenue and 190th Street, in the Fordham neighborhood of The Bronx in New York City. It was founded July 5, 1853, becoming the first Episcopal parish in Fordham. The parish at first met at the Manor Reformed Church on Kingsbridge Road, then on June 11, 1854 acquired an old schoolhouse for use. On October 1, 1854, the Rev. Joshua Weaver became its first rector.

",40.515,-73.54,POINT (-73.54000000000001 40.515)
"St. Peter's Church, Chapel and Cemetery Complex","https://en.wikipedia.org/wiki/St._Peter%27s_Church,_Chapel_and_Cemetery_Complex",83001643,40°50′17″N 73°50′41″W,Westchester Square,,1.0,"St. Peter's Church, Chapel and Cemetery Complex is a historic Episcopal Gothic Revival church at 2500 Westchester Avenue and Saint Peters Avenue in Westchester Square, Bronx, New York City.
It was built in 1853 to designs by the architect Leopold Eidlitz in the Village of Westchester, now the East Bronx. The church was damaged heavily by fire and reconstructed and changed by Cyrus L. W. Eidlitz in 1878.  It is a Gothic Revival style, cruciform plan, church constructed of rock faced schist.  It features a square corner tower with buttressed corners and an octagonal belfry.: 3 It was designated a New York City Landmark in 1976. It was added to the National Register of Historic Places in 1983.Burials in the graveyard predated the church and include members of the English settlement Oostdorp, or East Towne, and called Westchester by the English settlers in New Netherlands. These burials date to the 1600s. 
In 2013, the Bronx Academy of Arts and Dance relocated from the American Bank Note Company Building to the chapel on the grounds of St. Peter's Church.

		
		
		

",40.5017,-73.5041,POINT (-73.50409999999999 40.5017)
St. Stephen's Methodist Church,https://en.wikipedia.org/wiki/St._Stephen%27s_Methodist_Church,12000008,40°52′37″N 73°54′33″W,"Marble Hill, Manhattan",,1.0,"St. Stephen's Methodist Church is a historic Methodist church located in the Marble Hill neighborhood of Bronx, New York City.  The church was designed by architect Alexander McMillan Welch and built in 1897. It is a two-story, Shingle style church on a raised basement.  It has a cross-gable roof topped by a small cupola, a rose window on the front facade, and features a pronounced bell tower with an open belfry and balconies.  The interior is based on the Akron Plan.  The church has an attached Sunday School wing with a hipped roof.  Also on the property is the contributing two-story, Queen Anne style frame parsonage.: 3, 6 It was added to the National Register of Historic Places in 2012.",40.5237,-73.5433,POINT (-73.5433 40.5237)
St. Stephen's Mission Church Complex,https://en.wikipedia.org/w/index.php?title=St._Stephen%27s_Mission_Church_Complex&action=edit&redlink=1,10000675,40°54′01″N 73°51′48″W,Woodlawn,,0.0,"St. Stephen's College is an affiliated college of the University of Delhi. It was established in 1881 by the Cambridge Mission to Delhi. The college admits both undergraduates and post-graduates and awards degrees in liberal arts and sciences under the purview of the University of Delhi. In 2017, the governing body of the college unilaterally initiated a move towards making it an autonomous institution. In 2018, the plan was put on hold after the University Grants Commission received legal advice against passing a favourable decision. Ranked eighth among colleges in India by the National Institutional Ranking Framework (NIRF) in 2021, the institution has produced distinguished alumni in fields like politics, law, journalism, film and business.",40.5401,-73.5148,POINT (-73.51479999999999 40.5401)
"V. Santini, Inc. Warehouse","https://en.wikipedia.org/w/index.php?title=V._Santini,_Inc._Warehouse&action=edit&redlink=1",10000570,40°51′33″N 73°54′12″W,Fordham,,0.0,,40.5133,-73.5412,POINT (-73.5412 40.5133)
Saxe Embroidery Company Building,https://en.wikipedia.org/w/index.php?title=Saxe_Embroidery_Company_Building&action=edit&redlink=1,10000207,40°49′33″N 73°54′31″W,Morrisania,1904 factory is only architect-designed textile manufacturing facility in the Bronx; has housed a number of different industrial concerns over the years,0.0,"List of Registered Historic Places in Bronx County, New York (Borough of The Bronx):
This is intended to be a complete list of the 75 properties and districts listed on the National Register of Historic Places in Bronx County, New York. The locations of National Register properties and districts (at least for all showing latitude and longitude coordinates below) may be seen in a map by clicking on ""Map of all coordinates"". Seven of the properties and districts are further designated National Historic Landmarks.

This National Park Service list is complete through NPS recent listings posted February 2, 2022.",40.4933,-73.5431,POINT (-73.5431 40.4933)
Simpson Street Subway Station and Substation #18 (IRT),https://en.wikipedia.org/wiki/Simpson_Street_(IRT_White_Plains_Road_Line),04001027,40°49′27″N 73°53′37″W,Longwood,Subway station (2 and ​5 trains) and Substation #18,1.0,"The Simpson Street station is a local station on the IRT White Plains Road Line of the New York City Subway. Located at the intersection of Simpson Street and Westchester Avenue in the Longwood neighborhood of the Bronx, it is served by the 2 train at all times, and the 5 train at all times except late nights and rush hours in the peak direction.

",40.4927,-73.5337,POINT (-73.5337 40.4927)
Henry F. Spaulding Coachman's House,https://en.wikipedia.org/wiki/Henry_F._Spaulding_Coachman%27s_House,82001093,40°53′53″N 73°54′41″W,Riverdale,,1.0,"Henry F. Spaulding Coachman's House is a historic home located at Riverdale, The Bronx in New York, New York.  It was built about 1880 and is representative of the Stick-Eastlake style.  The main section is a 2+1⁄2-story cottage dwelling with board and batten siding.  It features jigsaw ornament, twin chimneys, and a polychromed slate roof.It was listed on the National Register of Historic Places in 1982.

",40.5353,-73.5441,POINT (-73.5441 40.5353)
Sunnyslope,"https://en.wikipedia.org/wiki/Sunnyslope_(Bronx,_New_York)",83001644,40°49′02″N 73°53′14″W,Hunts Point,,1.0,"The Sunnyslope community is an established neighborhood within the borders of the city of Phoenix, Arizona. The geographic boundaries are 19th Avenue to the west, Cactus Road to the north, 16th Street to the east, and Northern Avenue to the south. This area covers approximately nine square miles and is divided into nine census tracts. The Sunnyslope community is included in parts of three zip code areas: 85020, 85021 and 85029.
After four failed attempts to become its own city, Sunnyslope was annexed into the city of Phoenix in 1959. While it exists in the middle of a large metropolitan area, the Sunnyslope community prides itself on a small town feel and distinct cultural identity.

",40.4902,-73.5314,POINT (-73.5314 40.4902)
Tremont Baptist Church,https://en.wikipedia.org/wiki/Tremont_Baptist_Church,09000831,40°50′54″N 73°54′08″W,Tremont,,1.0,"Tremont Baptist Church is a historic Baptist church located at The Bronx, New York, New York. The church was built in two phases between 1904 and 1912.  It is a one-story building above a raised basement in the Late Gothic Revival style.  It is 50 feet tall with a 75 foot tall offset corner tower.  It is faced in gray marble, and features buttressed bays, pointed arch door and window openings, a high-pitched gable roof, and stained glass windows.It was added to the National Register of Historic Places in 2009.",40.5054,-73.5408,POINT (-73.5408 40.5054)
United Workers Cooperatives,https://en.wikipedia.org/wiki/United_Workers_Cooperatives,86002518,40°51′59″N 73°52′11″W,Bronx Park,,1.0,"A worker cooperative is a cooperative owned and self-managed by its workers. This control may mean a firm where every worker-owner participates in decision-making in a democratic fashion, or it may refer to one in which management is elected by every worker-owner who each have one vote. Most commonly (although not always) workers additionally have equity in their firm.",40.5159,-73.5211,POINT (-73.5211 40.5159)
US Post Office-Morrisania,"https://en.wikipedia.org/wiki/United_States_Post_Office_(Morrisania,_Bronx)",88002458,40°49′47″N 73°54′34″W,Morrisania,,1.0,"US Post Office-Morrisania -- originally Station ""T"" -- is a historic post office building located at Morrisania in The Bronx, New York, United States. It was built in 1936, and designed by consulting architect William Dewey Foster for the Office of the Supervising Architect.  The building is a two-story, five bay wide brick building with a hipped roof and a one bay recessed wing in the Colonial Revival style.  It features an arcade of five recessed brick round arches with limestone keystones.It was listed on the National Register of Historic Places in 1988.

",40.4947,-73.5434,POINT (-73.54340000000001 40.4947)
University Heights Campus (Bronx Community College of The City University of New York),https://en.wikipedia.org/wiki/Bronx_Community_College,12001013,40°51′29″N 73°54′45″W,University Heights,,1.0,"University Heights is a neighborhood of the West Bronx in New York City. Its boundaries, starting from the north and moving clockwise, are: West Fordham Road to the north, Jerome Avenue to the east, West Burnside Avenue to the south and the Harlem River to the west. University Avenue is the primary thoroughfare in University Heights.
The neighborhood is mostly part of Bronx Community Board 5, with a small portion in Community Board 7. Its ZIP Codes include 10453 and 10468. The nearest subway is the IRT Jerome Avenue Line (4 train), operating along Jerome Avenue. The area is patrolled by the New York City Police Department's 46th Precinct. NYCHA property in the area is patrolled by P.S.A. 7 at 737 Melrose Avenue in the Melrose section of the Bronx.",40.5129,-73.5445,POINT (-73.5445 40.5129)
Valentine-Varian House,https://en.wikipedia.org/wiki/Valentine-Varian_House,78001841,40°52′38″N 73°52′47″W,Norwood,,1.0,"The Valentine–Varian House is a historic house located in the Norwood neighborhood of the Bronx, New York City. Built in 1758 by Isaac Valentine, it is the Bronx's second oldest house and oldest remaining farmhouse. The house remained in the Varian family, which included Isaac Varian, the 63rd Mayor of New York City until 1905, when it was sold. It is currently a part of the Historic House Trust and houses the Museum of Bronx History and the offices of the Bronx County Historical Society.  It is a two-story, five bay fieldstone residence with a gable roof.  It was moved to its present site in 1965 and restored between July 1965 and May 1968.",40.5238,-73.5247,POINT (-73.5247 40.5238)
Frederick Van Cortlandt House,https://en.wikipedia.org/wiki/Van_Cortlandt_House_Museum,67000010,40°53′40″N 73°53′35″W,Van Cortlandt Park,,1.0,"The Van Cortlandt House Museum, also known as the Frederick Van Cortlandt House or simply the Van Cortlandt House, is the oldest building in the borough of the Bronx in New York City. It is located in the southwestern portion of Van Cortlandt Park, accessed via Broadway (U.S. Route 9).
The house was built in 1748 in the Georgian style by Africans enslaved by Frederick Van Cortlandt (1699–1749) for his family. Van Cortlandt died before its completion and the property was inherited by his son, James Van Cortlandt (1727–1787). It is a 2+1⁄2-story, L-shaped house with a double hipped roof. It was built of dressed fieldstone and is one of the nation's finest examples of the high Georgian style in stone.The Van Cortlandts, a mercantile family prominent in New York affairs, established a grain plantation and grist mill on the property. The house was used during the Revolutionary War by  the Comte de Rochambeau, Marquis de Lafayette, and George Washington. In 1889, the family sold the property to the City of New York as part of Van Cortlandt Park's creation. It was added to the National Register of Historic Places in 1967 and became a National Historic Landmark in 1976. The house has been operated as a historic house museum since 1897, the first in the city and fourth in the country.

",40.534,-73.5335,POINT (-73.5335 40.534)
